Location,Latitude,Longitude,Distance_to_MRT,Amenity_Count,Safety_Index,Property_Age,Square_Feet,Rental_Price,Property_Type,Nearest_MRT,Rooms,Furnished
Setapak,3.2073,101.7264,4.1,13,6.7,10,700,1499,"Service residence","Wangsa Maju LRT",2,"Fully Furnished"
"Desa Pandan",3.1424,101.7266,3.2,7,5.8,15,900,1300,Apartment,"Desa Pandan",3,"Fully Furnished"
"Desa Pandan",3.1374,101.7256,4.1,7,7.5,14,900,1000,Apartment,"Desa Pandan",3,"Partially Furnished"
Cheras,3.1037,101.7383,3.4,10,6.2,4,650,1400,"Service residence","Cheras MRT",2,"Not Furnished"
Cheras,3.1067,101.7263,1.6,4,7.2,12,650,900,Flat,"Cheras MRT",3,"Not Furnished"
Ampang,3.1648,101.768,6,4,7,6,680,900,Flat,"Ampang Park LRT",3,"Partially Furnished"
Cheras,3.1057,101.7143,1.9,11,6.6,12,1000,1300,Apartment,"Cheras MRT",3,"Partially Furnished"
Cheras,3.1307,101.7363,5.9,1,5.5,13,700,1000,Flat,"Cheras MRT",3,"Fully Furnished"
Sentul,3.1879,101.7123,2.6,10,6.7,10,900,1550,Condominium,"Sentul LRT",3,"Partially Furnished"
"Taman Desa",3.0899,101.6854,0.9,13,9,3,1118,3300,Condominium,"Taman Desa",4,"Fully Furnished"
"Old Klang Road",3.0732,101.6634,5.8,4,6.1,14,775,1400,Duplex,"Mid Valley",1,"Partially Furnished"
"Jalan Ipoh",3.1779,101.6683,1.6,10,7.1,15,1300,1700,Condominium,"Sentul LRT",3,"Partially Furnished"
Sentul,3.1759,101.7013,2.9,1,7.4,14,570,850,Apartment,"Sentul LRT",2,"Not Furnished"
"Bukit Jalil",3.0367,101.6839,2.6,18,6.9,5,1434,1300,Apartment,"Bukit Jalil LRT",4,"Partially Furnished"
"Bukit Jalil",3.0547,101.6649,5,18,6.5,8,850,1200,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
Segambut,3.1894,101.6639,1.5,9,7.8,4,1033,2800,"Service residence","Segambut KTM",3,"Fully Furnished"
Cheras,3.1037,101.7283,4.4,7,6.9,5,950,1000,Apartment,"Cheras MRT",3,"Partially Furnished"
Cheras,3.1127,101.7363,4.5,5,6.3,8,650,800,Apartment,"Cheras MRT",3,"Not Furnished"
Ampang,3.1588,101.755,2,10,7.9,17,1400,3800,Condominium,"Ampang Park LRT",2,"Fully Furnished"
"Bukit Bintang",3.1498,101.7003,2.9,7,7.4,18,900,2000,"Service residence","Bukit Bintang MRT",2,"Fully Furnished"
"Sungai Besi",3.0628,101.7063,1.9,9,7,7,1035,1200,Apartment,"Sungai Besi",3,"Partially Furnished"
Kepong,3.2263,101.6185,4.8,4,7.4,9,850,1000,Apartment,"Kepong LRT",5,"Not Furnished"
"Jalan Kuching",3.1639,101.6652,3.6,16,5.5,21,1050,1500,Condominium,"Titiwangsa LRT",3,"Partially Furnished"
Cheras,3.1267,101.7273,2.7,11,7.5,2,1000,2300,Condominium,"Cheras MRT",4,"Partially Furnished"
Sentul,3.1959,101.7123,3.1,13,5.8,14,948,1499,"Service residence","Sentul LRT",3,"Partially Furnished"
Cheras,3.1047,101.7173,4.7,7,6.9,26,920,1400,Condominium,"Cheras MRT",3,"Partially Furnished"
Sentul,3.1679,101.7113,2.9,10,7.5,19,1010,1750,Apartment,"Sentul LRT",3,"Fully Furnished"
Sentul,3.1619,101.6983,3.2,11,7.2,5,819,1700,Apartment,"Sentul LRT",3,"Fully Furnished"
Sentul,3.1849,101.6823,1.7,11,5.6,8,1150,1350,"Service residence","Sentul LRT",3,"Partially Furnished"
"Jalan Kuching",3.1969,101.6642,2.9,13,7.3,12,880,1800,Condominium,"Titiwangsa LRT",2,"Fully Furnished"
Setapak,3.1793,101.7214,1.9,8,8,3,850,1800,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
Bangsar,3.1319,101.652,5.5,6,8.5,12,555,1300,Apartment,"Bangsar LRT",2,"Partially Furnished"
"Mont Kiara",3.1775,101.6448,0.8,13,9.9,18,3488,5800,Condominium,"Mont Kiara",7,"Partially Furnished"
Ampang,3.1288,101.765,1.8,15,6.2,7,680,1500,"Service residence","Ampang Park LRT",1,"Fully Furnished"
"Bukit Jalil",3.0687,101.6799,3.6,5,6.5,4,850,1250,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
Sentul,3.1729,101.7073,1,1,8.2,4,850,2800,"Service residence","Sentul LRT",3,"Fully Furnished"
Sentul,3.1789,101.6943,3.2,1,7.1,4,850,2500,"Service residence","Sentul LRT",3,"Fully Furnished"
Cheras,3.1307,101.7223,2.4,7,7.6,8,1050,1850,"Service residence","Cheras MRT",3,"Fully Furnished"
"Bukit Jalil",3.0387,101.6789,0.8,5,7.9,4,750,3500,"Service residence","Bukit Jalil LRT",2,"Fully Furnished"
Setapak,3.2063,101.7084,4.9,11,6.7,6,928,1499,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Sentul,3.1789,101.6993,1.6,7,5.6,15,1000,1300,Apartment,"Sentul LRT",3,"Not Furnished"
Sentul,3.1969,101.6813,4.5,8,5.5,19,1100,1500,Apartment,"Sentul LRT",3,"Partially Furnished"
Setapak,3.1883,101.7214,2.7,9,5.6,6,850,1450,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1197,101.7473,3.3,9,7.5,10,1142,1600,Condominium,"Cheras MRT",3,"Partially Furnished"
Bangsar,3.1249,101.684,3.5,10,9.7,6,525,2000,"Service residence","Bangsar LRT",1,"Fully Furnished"
Cheras,3.0997,101.7373,1.2,16,7.9,2,850,2600,Condominium,"Cheras MRT",3,"Fully Furnished"
Setapak,3.1833,101.7294,2.7,7,7.2,8,1200,1700,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.1753,101.7164,3.1,10,6.7,7,700,1500,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.2013,101.7054,3.1,8,6.5,6,850,1500,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
"Wangsa Maju",3.1949,101.7326,2.8,11,7.3,7,1518,2500,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.2113,101.7054,5.5,8,7.4,8,850,1500,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
"Wangsa Maju",3.2019,101.7286,2.2,1,6.6,11,700,1500,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
KLCC,3.1438,101.7113,0.3,13,8.8,9,1717,4800,Condominium,"KLCC LRT",3,"Fully Furnished"
Setapak,3.2043,101.7234,1.5,1,6.6,11,1362,1799,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
Setapak,3.2043,101.7184,2.1,8,6.8,15,850,1550,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1207,101.7483,4.3,14,7.2,4,819,1000,"Service residence","Cheras MRT",3,"Partially Furnished"
"Mont Kiara",3.1685,101.6628,0.6,13,8.8,6,1548,4600,Condominium,"Mont Kiara",3,"Fully Furnished"
Setapak,3.1913,101.7174,5.1,14,6.7,7,1100,1250,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
"Desa Pandan",3.1064,101.7496,4.4,12,5.9,9,850,1500,Apartment,"Desa Pandan",3,"Partially Furnished"
Bangsar,3.1489,101.667,1.7,13,9,8,1150,1900,Condominium,"Bangsar LRT",3,"Partially Furnished"
Cheras,3.1227,101.7413,3.3,13,7.3,2,850,2300,Condominium,"Cheras MRT",3,"Fully Furnished"
Kepong,3.2163,101.6215,5.8,4,6.6,11,700,800,Apartment,"Kepong LRT",3,"Partially Furnished"
Kepong,3.2113,101.6225,4.6,6,7.5,12,750,1250,Apartment,"Kepong LRT",2,"Fully Furnished"
Setapak,3.1843,101.7134,3.8,8,6.1,8,850,1450,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.1953,101.7244,2.5,12,7,18,1125,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Setapak,3.2003,101.7034,1.8,9,6.5,5,850,1650,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.1973,101.7204,1.8,10,7.3,8,850,1750,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
"Old Klang Road",3.1042,101.6764,3.1,2,7.1,12,750,650,Apartment,"Mid Valley",3,"Not Furnished"
Cheras,3.1097,101.7163,2.5,1,5.6,15,570,700,Flat,"Cheras MRT",2,"Not Furnished"
"Bandar Menjalara",3.1744,101.6434,3.3,11,7.4,6,1180,1600,Condominium,Kepong,3,"Fully Furnished"
Setapak,3.1903,101.7104,5.1,4,6.8,13,800,880,Flat,"Wangsa Maju LRT",3,"Fully Furnished"
Bangsar,3.1349,101.679,2.8,9,8.8,8,1097,1800,Condominium,"Bangsar LRT",3,"Partially Furnished"
Kepong,3.1983,101.6525,2.6,9,7.2,5,850,1000,Apartment,"Kepong LRT",3,"Partially Furnished"
Cheras,3.1077,101.7173,0.9,8,8.3,8,1121,3500,"Service residence","Cheras MRT",2,"Fully Furnished"
Sentul,3.1679,101.6903,4.2,11,6.6,7,1010,1400,Condominium,"Sentul LRT",3,"Fully Furnished"
"Wangsa Maju",3.2099,101.7446,3.4,10,7.7,7,1784,2500,Condominium,"Wangsa Maju LRT",4,"Not Furnished"
Sentul,3.1719,101.6823,2.2,8,6.9,19,1065,1700,Apartment,"Sentul LRT",3,"Fully Furnished"
Sentul,3.1989,101.6753,1.3,9,6.9,4,850,2500,"Service residence","Sentul LRT",3,"Fully Furnished"
"Mont Kiara",3.1585,101.6358,0.8,10,9.2,14,940,2950,"Service residence","Mont Kiara",3,"Fully Furnished"
Sentul,3.1879,101.6873,2,10,7.1,4,1001,2400,"Service residence","Sentul LRT",4,"Partially Furnished"
Setapak,3.2103,101.7114,1.1,16,6.7,3,1000,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
"Bukit Jalil",3.0737,101.6989,2.3,13,6,25,837,1300,Condominium,"Bukit Jalil LRT",2,"Fully Furnished"
Bangsar,3.1429,101.67,2.5,2,9.1,14,750,1100,Flat,"Bangsar LRT",3,"Not Furnished"
Sentul,3.1899,101.7073,2.1,13,7.9,11,1100,1800,Condominium,"Sentul LRT",3,"Fully Furnished"
Setapak,3.1943,101.7104,3.4,6,7.5,8,700,2200,Condominium,"Wangsa Maju LRT",1,"Fully Furnished"
Setapak,3.1843,101.7304,3.2,9,7.5,4,950,2000,Apartment,"Wangsa Maju LRT",4,"Fully Furnished"
Cheras,3.1367,101.7473,5.5,9,5.5,4,650,999,"Service residence","Cheras MRT",2,"Partially Furnished"
Kepong,3.1983,101.6215,5.8,3,6.4,10,700,800,Apartment,"Kepong LRT",3,"Partially Furnished"
Setapak,3.2053,101.7254,3,9,7.5,4,950,1900,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
Cheras,3.1267,101.7143,5.7,2,7.4,12,700,650,Apartment,"Cheras MRT",3,"Not Furnished"
Kepong,3.2023,101.6295,2.4,1,7.1,7,1000,1300,Condominium,"Kepong LRT",4,"Fully Furnished"
Kepong,3.2253,101.6145,1,6,7.7,12,1500,1600,Condominium,"Kepong LRT",5,"Fully Furnished"
"Bukit Jalil",3.0517,101.6839,5.1,5,6.3,6,650,800,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
Kepong,3.2243,101.6545,4.9,1,6.5,8,650,650,Apartment,"Kepong LRT",3,"Not Furnished"
"Wangsa Maju",3.1959,101.7356,1.5,11,8.9,15,1518,3600,"Service residence","Wangsa Maju LRT",3,"Fully Furnished"
Setapak,3.1903,101.7154,1.5,7,7.5,18,1076,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Sentul,3.1929,101.6893,1,1,8.4,8,1186,3400,Condominium,"Sentul LRT",3,"Fully Furnished"
Setapak,3.1963,101.7214,5.4,18,6,12,1200,650,Condominium,"Wangsa Maju LRT",4,"Fully Furnished"
Cheras,3.1087,101.7263,1.9,6,7.1,4,670,1600,"Service residence","Cheras MRT",2,"Partially Furnished"
Kepong,3.1973,101.6505,1.9,4,5.9,14,650,600,Apartment,"Kepong LRT",3,"Not Furnished"
"Sungai Besi",3.0738,101.6933,1.7,8,7.2,6,1216,1900,Condominium,"Sungai Besi",3,"Partially Furnished"
Setapak,3.2043,101.7084,5.8,11,7,12,850,1500,"Service residence","Wangsa Maju LRT",3,"Not Furnished"
"Bukit Jalil",3.0637,101.6619,3.3,7,6.9,25,878,1050,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
Ampang,3.1548,101.775,2.8,6,6.5,10,1060,2400,Condominium,"Ampang Park LRT",3,"Fully Furnished"
Cheras,3.1317,101.7413,3.4,1,5.7,5,625,1100,Apartment,"Cheras MRT",3,"Not Furnished"
Cheras,3.1287,101.7423,2,12,6.6,2,850,1800,Condominium,"Cheras MRT",3,"Partially Furnished"
"Bukit Jalil",3.0377,101.6649,2.8,11,7.4,7,1325,2000,Condominium,"Bukit Jalil LRT",3,"Partially Furnished"
Sentul,3.1709,101.7073,2.2,7,6.5,19,1065,1750,Apartment,"Sentul LRT",3,"Fully Furnished"
"Bukit Jalil",3.0397,101.6779,1.9,1,7.6,7,1434,1800,Apartment,"Bukit Jalil LRT",4,"Fully Furnished"
Kepong,3.1973,101.6225,3.4,10,5.9,21,850,645,Apartment,"Kepong LRT",3,"Fully Furnished"
"Bukit Jalil",3.0677,101.6789,2.3,6,7,4,850,1250,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
"KL City",3.1468,101.6964,1.7,15,8.6,11,865,3500,Condominium,"Masjid Jamek LRT",2,"Fully Furnished"
Setapak,3.2003,101.7254,1.7,11,6.9,6,928,1700,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
"Sri Petaling",3.0689,101.6752,2.1,11,6.9,8,958,2200,"Service residence","Sri Petaling LRT",3,"Partially Furnished"
"Mont Kiara",3.1815,101.6428,2.3,13,9.5,3,636,2200,"Service residence","Mont Kiara",1,"Fully Furnished"
"Wangsa Maju",3.1859,101.7526,3.9,1,5.6,8,550,800,Flat,"Wangsa Maju LRT",2,"Partially Furnished"
Kepong,3.1963,101.6295,1.8,5,6.4,7,850,1000,Apartment,"Kepong LRT",3,"Partially Furnished"
"KL City",3.1608,101.7104,2.8,9,6.1,7,805,1200,Apartment,"Masjid Jamek LRT",3,"Partially Furnished"
"Jalan Kuching",3.1599,101.6862,1.9,10,6.9,18,1300,1800,"Service residence","Titiwangsa LRT",3,"Partially Furnished"
Setapak,3.1793,101.7154,1.8,7,5.5,14,653,1100,Apartment,"Wangsa Maju LRT",3,"Fully Furnished"
Bangsar,3.1299,101.661,1.4,17,9.4,10,1200,1900,Apartment,"Bangsar LRT",3,"Partially Furnished"
"Mont Kiara",3.1905,101.6618,1.6,10,9,31,1280,3500,Condominium,"Mont Kiara",3,"Fully Furnished"
Ampang,3.1398,101.748,2.2,10,6.9,7,589,1600,"Service residence","Ampang Park LRT",2,"Fully Furnished"
Ampang,3.1288,101.766,2.2,6,7.3,7,890,2500,"Service residence","Ampang Park LRT",4,"Fully Furnished"
Kepong,3.2283,101.6395,3.1,5,6.2,13,1000,1500,Condominium,"Kepong LRT",3,"Partially Furnished"
"Jalan Ipoh",3.2019,101.6963,2.6,1,7.7,7,904,1600,"Service residence","Sentul LRT",2,"Partially Furnished"
Kepong,3.1933,101.6425,3.6,8,5.5,5,800,1100,Apartment,"Kepong LRT",3,"Partially Furnished"
Kepong,3.2133,101.6155,4,7,6.6,5,800,1100,Apartment,"Kepong LRT",3,"Partially Furnished"
Kepong,3.2273,101.6425,3.5,8,6.3,5,1001,1200,Condominium,"Kepong LRT",3,"Partially Furnished"
Kepong,3.2043,101.6275,5.5,8,5.8,5,800,1400,Apartment,"Kepong LRT",3,"Partially Furnished"
Pantai,3.1274,101.6738,1.1,13,7.9,15,870,2350,Studio,Bangsar,1,"Fully Furnished"
Ampang,3.1328,101.77,2.7,11,7.9,10,520,1600,"Service residence","Ampang Park LRT",1,"Fully Furnished"
Cheras,3.1107,101.7203,4.9,7,5.9,26,920,1350,Condominium,"Cheras MRT",3,"Partially Furnished"
Cheras,3.1317,101.7403,5.7,7,7,9,967,1350,Condominium,"Cheras MRT",3,"Partially Furnished"
Ampang,3.1608,101.762,3.9,11,7.3,9,1100,1300,Condominium,"Ampang Park LRT",4,"Partially Furnished"
Setapak,3.1813,101.7154,2,8,8,13,926,1600,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
"Sri Petaling",3.0729,101.7052,3.3,11,5.5,30,1141,1500,Condominium,"Sri Petaling LRT",3,"Fully Furnished"
"Solaris Dutamas",3.1798,101.6704,1.2,10,8.2,11,1474,3000,Condominium,Publika,3,"Fully Furnished"
Kepong,3.2263,101.6265,4.7,1,6.3,5,932,1100,Apartment,"Kepong LRT",3,"Partially Furnished"
Kepong,3.2193,101.6215,2.4,1,7.6,6,958,1700,"Service residence","Kepong LRT",3,"Not Furnished"
"KL City",3.1428,101.7074,1.7,9,8,4,695,1650,"Service residence","Masjid Jamek LRT",2,"Fully Furnished"
"Solaris Dutamas",3.1828,101.6634,2.8,12,6.5,16,1000,1800,Condominium,Publika,3,"Fully Furnished"
"Bukit Jalil",3.0697,101.6609,5.6,12,5.7,5,1222,1500,Condominium,"Bukit Jalil LRT",3,"Fully Furnished"
Cheras,3.1067,101.7253,4.5,7,5.8,29,1100,1400,Condominium,"Cheras MRT",3,"Not Furnished"
Pantai,3.1174,101.6838,5.3,7,6.8,5,810,1300,Apartment,Bangsar,3,"Not Furnished"
"Bukit Jalil",3.0717,101.6769,2.8,14,7.1,7,1206,1600,Condominium,"Bukit Jalil LRT",3,"Fully Furnished"
Sentul,3.1859,101.6863,1.4,15,6.8,5,743,1900,"Service residence","Sentul LRT",2,"Fully Furnished"
Sentul,3.1779,101.6913,2.6,9,7.9,8,1009,1700,"Service residence","Sentul LRT",3,"Partially Furnished"
Sentul,3.1849,101.6723,2.8,6,7.4,19,1065,1600,Apartment,"Sentul LRT",3,"Fully Furnished"
Bangsar,3.1219,101.682,1.6,5,8.7,8,940,1800,Apartment,"Bangsar LRT",3,"Not Furnished"
Setiawangsa,3.1924,101.7225,4,3,6.6,12,878,1400,Apartment,"Setiawangsa LRT",3,"Partially Furnished"
"Bukit Jalil",3.0767,101.6809,4.3,18,5.8,5,1465,1500,Condominium,"Bukit Jalil LRT",4,"Fully Furnished"
"Bukit Jalil",3.0537,101.6899,2,18,7.3,15,750,1150,Condominium,"Bukit Jalil LRT",2,"Partially Furnished"
Bangsar,3.1119,101.677,2.4,5,8.5,13,600,1300,Apartment,"Bangsar LRT",2,"Not Furnished"
"Old Klang Road",3.1012,101.6904,5.5,1,7.3,14,600,700,Flat,"Mid Valley",2,"Not Furnished"
"Sri Petaling",3.0929,101.6862,3.3,8,7.8,3,900,1700,"Service residence","Sri Petaling LRT",3,"Partially Furnished"
Bangsar,3.1339,101.674,3.3,6,9.9,6,700,1700,Apartment,"Bangsar LRT",3,"Not Furnished"
"Wangsa Maju",3.1979,101.7646,1.9,7,6.1,20,1150,1400,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.1993,101.7064,2.5,18,7.6,3,1000,2200,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.1813,101.7434,1.9,18,8.8,3,1100,2800,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
Setapak,3.2023,101.7164,1.5,18,6.9,3,1000,2100,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1227,101.7233,3.6,7,6.3,5,1000,1300,Apartment,"Cheras MRT",3,"Partially Furnished"
"Bukit Jalil",3.0407,101.6759,1.3,14,6.5,5,1000,2000,Condominium,"Bukit Jalil LRT",4,"Fully Furnished"
Setapak,3.2113,101.7294,2.6,1,6.6,7,700,900,Flat,"Wangsa Maju LRT",2,"Not Furnished"
Ampang,3.1658,101.781,2.7,1,6.7,12,950,1250,Condominium,"Ampang Park LRT",3,"Partially Furnished"
Cheras,3.0967,101.7353,3.8,5,6.5,8,750,1000,"Service residence","Cheras MRT",1,"Partially Furnished"
"Old Klang Road",3.1102,101.6754,1.3,11,6.9,8,953,1800,"Service residence","Mid Valley",3,"Partially Furnished"
"Bukit Jalil",3.0487,101.6909,4.5,11,6.9,4,850,1300,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
Setapak,3.2013,101.7064,2.2,18,7.2,8,1433,2500,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
"Sungai Besi",3.0758,101.7283,1,15,8.2,5,1250,3300,"Service residence","Sungai Besi",3,"Fully Furnished"
Kepong,3.1923,101.6305,3.4,14,7.2,4,978,1800,Apartment,"Kepong LRT",3,"Partially Furnished"
Ampang,3.1568,101.751,2.6,8,7,11,950,2000,"Service residence","Ampang Park LRT",2,"Fully Furnished"
"Desa Pandan",3.1164,101.7346,1.9,4,7,13,1410,2400,"Service residence","Desa Pandan",2,"Partially Furnished"
"Old Klang Road",3.0822,101.6634,2,12,8.8,11,1108,2600,"Service residence","Mid Valley",2,"Fully Furnished"
Setapak,3.1853,101.7434,3.8,6,6.5,5,1300,1200,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Bangsar,3.1229,101.674,1.6,6,9.6,14,750,1400,Apartment,"Bangsar LRT",3,"Not Furnished"
"Bukit Jalil",3.0377,101.6859,1.2,10,7.4,8,825,1800,Condominium,"Bukit Jalil LRT",3,"Fully Furnished"
Cheras,3.1047,101.7143,2.7,11,6.5,4,850,600,Condominium,"Cheras MRT",3,"Fully Furnished"
Cheras,3.1337,101.7283,1.7,11,7.1,6,1100,1250,Condominium,"Cheras MRT",2,"Fully Furnished"
Sentul,3.1619,101.6963,4.6,4,7.3,10,678,900,Flat,"Sentul LRT",3,"Not Furnished"
"KL City",3.1568,101.6904,1.9,12,5.6,5,805,1300,Apartment,"Masjid Jamek LRT",3,"Partially Furnished"
Setapak,3.1953,101.7124,2.3,12,7.3,16,1100,1500,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
"Bukit Jalil",3.0657,101.6769,5.2,6,7.4,7,800,1200,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
"Bukit Jalil",3.0447,101.6809,1,13,8.4,10,1170,3000,Condominium,"Bukit Jalil LRT",3,"Fully Furnished"
Setapak,3.2003,101.7044,4.8,1,5.5,9,900,1200,Apartment,"Wangsa Maju LRT",3,"Not Furnished"
Cheras,3.1187,101.7523,5.1,16,7.2,20,950,1400,Condominium,"Cheras MRT",3,"Fully Furnished"
Setiawangsa,3.1704,101.7375,2.9,2,6.4,7,878,1500,Apartment,"Setiawangsa LRT",3,"Partially Furnished"
"Desa Pandan",3.1364,101.7296,1.6,6,6.5,13,1000,1399,Apartment,"Desa Pandan",3,"Partially Furnished"
Setapak,3.1993,101.7414,4,7,7.5,9,923,1450,"Service residence","Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1027,101.7473,3.1,3,6.3,11,650,900,Apartment,"Cheras MRT",3,"Not Furnished"
Setapak,3.1923,101.7374,1.5,6,7.5,9,880,1800,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Bangsar,3.1459,101.667,2.9,9,8.5,8,648,1999,"Service residence","Bangsar LRT",2,"Partially Furnished"
"Wangsa Maju",3.1959,101.7326,1.7,10,6.9,20,1150,1700,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
"Desa ParkCity",3.1823,101.6302,3.1,9,9.1,5,862,1600,Condominium,"Desa ParkCity",3,"Partially Furnished"
Segambut,3.1984,101.6639,1.1,13,7.3,8,1000,2300,"Service residence","Segambut KTM",2,"Partially Furnished"
KLCC,3.1578,101.6993,0.9,15,8.9,5,1200,4000,Condominium,"KLCC LRT",3,"Fully Furnished"
Cheras,3.1037,101.7283,5.7,11,5.5,4,650,1500,"Service residence","Cheras MRT",2,"Fully Furnished"
Ampang,3.1528,101.756,1.7,2,7.4,14,505,950,Flat,"Ampang Park LRT",2,"Partially Furnished"
Sentul,3.1939,101.6753,2.4,8,5.7,8,1009,1400,"Service residence","Sentul LRT",3,"Partially Furnished"
Setapak,3.2043,101.7154,3.1,6,7.8,6,930,1800,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Setapak,3.1723,101.7134,2,7,5.5,9,558,1180,"Service residence","Wangsa Maju LRT",2,"Partially Furnished"
"Old Klang Road",3.0782,101.6574,4.4,7,5.7,7,840,1200,Condominium,"Mid Valley",2,"Fully Furnished"
"Mont Kiara",3.1755,101.6448,1.2,4,9.5,18,1050,2550,Condominium,"Mont Kiara",3,"Fully Furnished"
Cheras,3.1057,101.7483,3.2,8,6.4,23,740,1200,Apartment,"Cheras MRT",3,"Partially Furnished"
"Solaris Dutamas",3.1728,101.6374,1.9,5,8,5,1474,2600,Condominium,Publika,2,"Fully Furnished"
Jinjang,3.2374,101.6808,4.9,1,5.8,14,904,750,Apartment,"Kepong KTM",3,"Not Furnished"
"Mont Kiara",3.1695,101.6518,0.9,3,9.2,13,886,3000,"Service residence","Mont Kiara",2,"Fully Furnished"
"Wangsa Maju",3.1809,101.7476,5.9,6,5.6,7,1140,1400,Condominium,"Wangsa Maju LRT",3,"Not Furnished"
Setapak,3.1763,101.7394,3.3,1,7.1,15,850,1650,Apartment,"Wangsa Maju LRT",3,"Fully Furnished"
"Jalan Ipoh",3.2039,101.6643,1.3,1,8.9,8,1359,2600,Condominium,"Sentul LRT",3,"Fully Furnished"
Kepong,3.2203,101.6315,5.9,3,7.2,7,1100,1200,Condominium,"Kepong LRT",4,"Partially Furnished"
Cheras,3.1367,101.7193,4.4,8,6.4,4,650,1300,"Service residence","Cheras MRT",2,"Partially Furnished"
"Old Klang Road",3.0872,101.6694,2.9,8,7.6,8,780,2450,"Service residence","Mid Valley",2,"Fully Furnished"
Cheras,3.1207,101.7383,2.6,12,6.1,14,1152,1400,Condominium,"Cheras MRT",3,"Partially Furnished"
Sentul,3.1719,101.6873,3.5,3,5.9,5,870,1300,Condominium,"Sentul LRT",3,"Not Furnished"
Setapak,3.2003,101.7074,3.4,16,7.3,13,950,1700,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
"Wangsa Maju",3.1899,101.7536,3.3,14,6.5,11,850,1450,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
Setapak,3.1853,101.7224,1.5,11,7.6,14,1272,1650,Condominium,"Wangsa Maju LRT",4,"Partially Furnished"
Setapak,3.1773,101.7134,3,16,8,19,1272,1600,Condominium,"Wangsa Maju LRT",4,"Fully Furnished"
Sentul,3.1769,101.6963,3.3,8,7.8,7,609,1600,"Service residence","Sentul LRT",1,"Partially Furnished"
"Mont Kiara",3.1535,101.6378,0.8,4,9.9,3,958,3300,"Service residence","Mont Kiara",2,"Partially Furnished"
Bangsar,3.1229,101.663,2,1,9.6,32,1400,2150,Condominium,"Bangsar LRT",2,"Partially Furnished"
Sentul,3.1809,101.6763,2.2,1,6.5,4,850,2500,"Service residence","Sentul LRT",3,"Fully Furnished"
Cheras,3.1137,101.7433,1.2,12,7.9,14,852,1502,Condominium,"Cheras MRT",3,"Partially Furnished"
Cheras,3.1177,101.7533,1.9,12,8,14,851,1501,Condominium,"Cheras MRT",3,"Partially Furnished"
"Sungai Besi",3.0608,101.6923,4.2,11,5.6,9,1130,1500,"Service residence","Sungai Besi",3,"Partially Furnished"
"Wangsa Maju",3.1939,101.7486,2.7,1,7.7,5,1000,2450,Condominium,"Wangsa Maju LRT",4,"Fully Furnished"
Setapak,3.1863,101.7204,2.4,7,7.6,14,1000,2300,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Ampang,3.1438,101.754,2.3,16,7.8,7,679,1550,"Service residence","Ampang Park LRT",1,"Fully Furnished"
